feature,coefficient,abs_coefficient,base_feature,is_utility
lag_11__CT_place_IVY,-0.002521586837247014,0.002521586837247014,CT_place_IVY,False
lag_12__CT_place_IVY,-0.0017670472152531147,0.0017670472152531147,CT_place_IVY,False
lag_07__T_place_BACKOFB,0.0017066627042368054,0.0017066627042368054,T_place_BACKOFB,False
lag_00__CT_kills_last_3s,0.0016538786003366113,0.0016538786003366113,CT_kills_last_3s,False
lag_08__T_place_DUMPSTER,-0.0016126532573252916,0.0016126532573252916,T_place_DUMPSTER,False
lag_05__CT_place_CONNECTOR,-0.0014952326891943812,0.0014952326891943812,CT_place_CONNECTOR,False
lag_14__T_place_DUMPSTER,0.0014201902085915208,0.0014201902085915208,T_place_DUMPSTER,False
lag_08__T_place_BACKOFB,0.001399950822815299,0.001399950822815299,T_place_BACKOFB,False
lag_13__T1__is_walking,0.0013116436311975121,0.0013116436311975121,T1__is_walking,False
lag_00__CT_damage_last_5s,0.0012678124476224184,0.0012678124476224184,CT_damage_last_5s,False
lag_01__CT_shots_fired_sum,0.0012623516377061605,0.0012623516377061605,CT_shots_fired_sum,False
lag_01__CT4__shots_fired,0.0012124951463192701,0.0012124951463192701,CT4__shots_fired,False
lag_13__CT_place_CONNECTOR,0.0011745319934561849,0.0011745319934561849,CT_place_CONNECTOR,False
lag_14__CT_place_CONNECTOR,0.0011684558121487498,0.0011684558121487498,CT_place_CONNECTOR,False
lag_00__T_flashes_last_5s,-0.0011647880310192704,0.0011647880310192704,T_flashes_last_5s,True
lag_00__T5__is_scoped,0.0011452232720330358,0.0011452232720330358,T5__is_scoped,False
lag_00__CT_place_IVY,0.001143994159065187,0.001143994159065187,CT_place_IVY,False
lag_11__T_place_TSTAIRS,-0.0010624626884236932,0.0010624626884236932,T_place_TSTAIRS,False
lag_10__T_place_BACKOFB,0.0010309164645150304,0.0010309164645150304,T_place_BACKOFB,False
lag_00__CT4__shots_fired,0.001021235017105937,0.001021235017105937,CT4__shots_fired,False
lag_00__T_place_TSPAWN,-0.0010155700147151947,0.0010155700147151947,T_place_TSPAWN,False
lag_01__CT_damage_last_5s,0.0009881316218525171,0.0009881316218525171,CT_damage_last_5s,False
lag_02__CT4__shots_fired,0.0009771940531209111,0.0009771940531209111,CT4__shots_fired,False
lag_00__T3__shots_fired,0.0009538218146190047,0.0009538218146190047,T3__shots_fired,False
lag_00__kill_diff_last_3s,0.000950115267187357,0.000950115267187357,kill_diff_last_3s,False
lag_11__T_kills_last_3s,-0.0009381171548739076,0.0009381171548739076,T_kills_last_3s,False
lag_03__CT2__duck_amount,0.0009214631281793118,0.0009214631281793118,CT2__duck_amount,False
lag_01__T_velocity_mean,-0.0009045497863553464,0.0009045497863553464,T_velocity_mean,False
lag_05__CT_macro_B,0.0008923248387873173,0.0008923248387873173,CT_macro_B,False
lag_05__CT_place_BOMBSITEB,0.0008923248387873173,0.0008923248387873173,CT_place_BOMBSITEB,False
lag_04__CT2__is_walking,0.0008480201940983534,0.0008480201940983534,CT2__is_walking,False
lag_06__CT_place_BOMBSITEB,0.0008414122276008129,0.0008414122276008129,CT_place_BOMBSITEB,False
lag_06__CT_macro_B,0.0008414122276008129,0.0008414122276008129,CT_macro_B,False
lag_14__T_A_site_active_infernos,0.0008331476128660142,0.0008331476128660142,T_A_site_active_infernos,True
lag_00__T3__hp,-0.0008254360291175544,0.0008254360291175544,T3__hp,False
lag_11__T_place_TSIDEUPPER,0.0008101887069642544,0.0008101887069642544,T_place_TSIDEUPPER,False
lag_00__damage_diff_last_5s,0.0008097407408058643,0.0008097407408058643,damage_diff_last_5s,False
lag_08__CT4__shots_fired,0.000800557725597173,0.000800557725597173,CT4__shots_fired,False
lag_00__T4__shots_fired,0.0007924697711132467,0.0007924697711132467,T4__shots_fired,False
lag_11__CT4__shots_fired,0.0007923915982246399,0.0007923915982246399,CT4__shots_fired,False
lag_00__CT3__duck_amount,0.0007918718038126826,0.0007918718038126826,CT3__duck_amount,False
lag_00__CT_place_CTSPAWN,-0.0007889534463174641,0.0007889534463174641,CT_place_CTSPAWN,False
lag_00__T4__alive,-0.0007881142664700747,0.0007881142664700747,T4__alive,False
lag_00__CT4__alive,-0.0007866325904615223,0.0007866325904615223,CT4__alive,False
lag_14__T_B_site_active_infernos,0.0007839986938051879,0.0007839986938051879,T_B_site_active_infernos,True
lag_00__T3__alive,-0.0007829178939573467,0.0007829178939573467,T3__alive,False
lag_01__T_place_BACKOFB,0.0007795951678417623,0.0007795951678417623,T_place_BACKOFB,False
lag_00__T2__flash,-0.000777831650339067,0.000777831650339067,T2__flash,True
lag_00__CT4__hp,-0.0007750079385004938,0.0007750079385004938,CT4__hp,False
lag_00__T4__utility_total,-0.000774351938161999,0.000774351938161999,T4__utility_total,True
lag_04__CT_macro_B,0.0007740019354969263,0.0007740019354969263,CT_macro_B,False
lag_04__CT_place_BOMBSITEB,0.0007740019354969263,0.0007740019354969263,CT_place_BOMBSITEB,False
lag_00__T_hp_sum,-0.0007693644729442894,0.0007693644729442894,T_hp_sum,False
lag_00__T2__alive,-0.0007671962957829237,0.0007671962957829237,T2__alive,False
lag_02__T_place_BACKOFB,0.0007656356901861727,0.0007656356901861727,T_place_BACKOFB,False
lag_00__T2__utility_total,-0.0007614656933583319,0.0007614656933583319,T2__utility_total,True
lag_00__T_alive,-0.000759621150791645,0.000759621150791645,T_alive,False
lag_00__T3__armor,-0.0007567342254333198,0.0007567342254333198,T3__armor,False
lag_01__T_place_DUMPSTER,-0.0007516322657465935,0.0007516322657465935,T_place_DUMPSTER,False
lag_09__CT_place_BOMBSITEB,0.000750924926251173,0.000750924926251173,CT_place_BOMBSITEB,False
