feature,coefficient,abs_coefficient,base_feature,is_utility,utility_family
lag_13__CT_place_SHOP,0.0010859029134735465,0.0010859029134735465,CT_place_SHOP,False,non_utility
lag_13__CT_place_SIDEALLEY,0.0010698845144361258,0.0010698845144361258,CT_place_SIDEALLEY,False,non_utility
lag_14__CT_place_SHOP,0.0010477291652932763,0.0010477291652932763,CT_place_SHOP,False,non_utility
lag_09__T_place_JUNGLE,-0.0009792826604098082,0.0009792826604098082,T_place_JUNGLE,False,non_utility
lag_11__T_place_JUNGLE,-0.0009158582543022931,0.0009158582543022931,T_place_JUNGLE,False,non_utility
lag_13__CT_place_UNDERPASS,-0.0008968859328888357,0.0008968859328888357,CT_place_UNDERPASS,False,non_utility
lag_12__CT_place_SHOP,0.0008887932635843754,0.0008887932635843754,CT_place_SHOP,False,non_utility
lag_05__T_place_JUNGLE,-0.0008486813167110085,0.0008486813167110085,T_place_JUNGLE,False,non_utility
lag_12__T_place_JUNGLE,-0.0008479033131152391,0.0008479033131152391,T_place_JUNGLE,False,non_utility
lag_08__T_place_JUNGLE,-0.0008477263618260622,0.0008477263618260622,T_place_JUNGLE,False,non_utility
lag_14__CT_place_UNDERPASS,-0.0008388528367504478,0.0008388528367504478,CT_place_UNDERPASS,False,non_utility
lag_02__T_place_JUNGLE,-0.0008386747795157135,0.0008386747795157135,T_place_JUNGLE,False,non_utility
lag_06__CT_place_PALACEALLEY,-0.000827428069896996,0.000827428069896996,CT_place_PALACEALLEY,False,non_utility
lag_10__T_place_JUNGLE,-0.0008000606903806329,0.0008000606903806329,T_place_JUNGLE,False,non_utility
lag_13__T5__is_scoped,-0.0007791490061208606,0.0007791490061208606,T5__is_scoped,False,non_utility
lag_13__CT_place_TSPAWN,-0.0007630696054548025,0.0007630696054548025,CT_place_TSPAWN,False,non_utility
lag_15__CT_place_UNDERPASS,-0.0007504699169658124,0.0007504699169658124,CT_place_UNDERPASS,False,non_utility
lag_04__T_place_JUNGLE,-0.0007205834263004363,0.0007205834263004363,T_place_JUNGLE,False,non_utility
lag_00__CT_shots_fired_sum,0.0007062781951390207,0.0007062781951390207,CT_shots_fired_sum,False,inferno_molotov
lag_00__CT_place_CTSPAWN,0.0006902433233335614,0.0006902433233335614,CT_place_CTSPAWN,False,non_utility
lag_08__CT_place_PALACEALLEY,-0.0006885228794999421,0.0006885228794999421,CT_place_PALACEALLEY,False,non_utility
lag_07__CT_place_PALACEALLEY,-0.0006842959555797279,0.0006842959555797279,CT_place_PALACEALLEY,False,non_utility
lag_06__T_place_JUNGLE,-0.000680530269164592,0.000680530269164592,T_place_JUNGLE,False,non_utility
lag_00__T_place_JUNGLE,-0.0006719683879055083,0.0006719683879055083,T_place_JUNGLE,False,non_utility
lag_11__CT4__is_scoped,-0.0006632382282987237,0.0006632382282987237,CT4__is_scoped,False,non_utility
lag_12__CT_place_PALACEALLEY,-0.0006587787065654993,0.0006587787065654993,CT_place_PALACEALLEY,False,non_utility
lag_00__CT_place_PALACEALLEY,-0.0006547336815856397,0.0006547336815856397,CT_place_PALACEALLEY,False,non_utility
lag_03__T_place_JUNGLE,-0.0006541023030877113,0.0006541023030877113,T_place_JUNGLE,False,non_utility
lag_13__CT_place_PALACEALLEY,-0.0006397960241883993,0.0006397960241883993,CT_place_PALACEALLEY,False,non_utility
lag_09__CT_place_SIDEALLEY,-0.0006331858457997441,0.0006331858457997441,CT_place_SIDEALLEY,False,non_utility
lag_10__CT_place_UNDERPASS,-0.0006208295817486942,0.0006208295817486942,CT_place_UNDERPASS,False,non_utility
lag_07__T_place_JUNGLE,-0.0006176735041663051,0.0006176735041663051,T_place_JUNGLE,False,non_utility
lag_02__CT_place_PALACEALLEY,-0.0006121328333392739,0.0006121328333392739,CT_place_PALACEALLEY,False,non_utility
lag_05__CT_place_PALACEALLEY,-0.0005927150486968458,0.0005927150486968458,CT_place_PALACEALLEY,False,non_utility
lag_09__T_flashed_players,-0.0005759178893640637,0.0005759178893640637,T_flashed_players,False,flash
lag_02__T_place_PALACEINTERIOR,-0.0005741415661759675,0.0005741415661759675,T_place_PALACEINTERIOR,False,non_utility
lag_15__CT_place_PALACEALLEY,-0.0005624569021165371,0.0005624569021165371,CT_place_PALACEALLEY,False,non_utility
lag_05__CT_place_SNIPERSNEST,0.0005505717708729208,0.0005505717708729208,CT_place_SNIPERSNEST,False,non_utility
lag_04__CT_place_PALACEALLEY,-0.0005500500556081533,0.0005500500556081533,CT_place_PALACEALLEY,False,non_utility
lag_01__CT_place_PALACEALLEY,-0.000537741172593087,0.000537741172593087,CT_place_PALACEALLEY,False,non_utility
lag_13__T_place_JUNGLE,-0.0005362076917663217,0.0005362076917663217,T_place_JUNGLE,False,non_utility
lag_14__CT_place_PALACEALLEY,-0.0005319967749528587,0.0005319967749528587,CT_place_PALACEALLEY,False,non_utility
lag_00__CT3__shots_fired,0.0005309910629875958,0.0005309910629875958,CT3__shots_fired,False,inferno_molotov
lag_01__CT_place_UNDERPASS,-0.000526665011420846,0.000526665011420846,CT_place_UNDERPASS,False,non_utility
lag_15__T_place_PALACEINTERIOR,-0.0005241138860583305,0.0005241138860583305,T_place_PALACEINTERIOR,False,non_utility
