tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
68464,98.5,-0.30768877267837524,1,lag_03__T_shots_fired_sum,T_shots_fired_sum,False,-8.996845245361328,0.002116675488650799,-0.019043401806040805
68464,98.5,-0.30768877267837524,2,lag_11__T_place_ARCH,T_place_ARCH,False,9.303513526916504,-0.0019219066016376019,-0.017880484065805557
68464,98.5,-0.30768877267837524,3,lag_03__T5__flash_duration,T5__flash_duration,True,-7.85980749130249,0.0017233118414878845,-0.013544899321576764
68464,98.5,-0.30768877267837524,4,lag_04__T_shots_fired_sum,T_shots_fired_sum,False,5.997896671295166,-0.0016573240282014012,-0.00994045827200668
68464,98.5,-0.30768877267837524,5,lag_06__T_utility_damage_last_5s,T_utility_damage_last_5s,True,-6.995808124542236,0.0009192785946652293,-0.006431096661276781
68464,98.5,-0.30768877267837524,6,lag_08__T5__is_scoped,T5__is_scoped,False,-4.76965856552124,0.0013246723683550954,-0.006318234908234188
68464,98.5,-0.30768877267837524,7,lag_03__T_place_ARCH,T_place_ARCH,False,-9.303513526916504,0.000650943024083972,-0.006056057229817169
68464,98.5,-0.30768877267837524,8,lag_05__T_shots_fired_sum,T_shots_fired_sum,False,2.998948335647583,-0.0018192499410361052,-0.005455836582797191
68464,98.5,-0.30768877267837524,9,lag_02__CT_shots_fired_sum,CT_shots_fired_sum,False,-5.557928085327148,0.0008928258321247995,-0.004962261767672005
68464,98.5,-0.30768877267837524,10,lag_03__CT_shots_fired_sum,CT_shots_fired_sum,False,5.557928085327148,-0.0008439228986389935,-0.004690462780196358
68464,98.5,-0.30768877267837524,11,lag_11__T_place_TOPOFMID,T_place_TOPOFMID,False,-4.071929931640625,0.001141949906013906,-0.004649940002732222
68464,98.5,-0.30768877267837524,12,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.0018202719511464238,-0.004381296189483769
68464,98.5,-0.30768877267837524,13,lag_02__T_kills_last_3s,T_kills_last_3s,False,-3.1681017875671387,0.0013671763008460402,-0.004331353682629768
68464,98.5,-0.30768877267837524,14,lag_03__CT3__is_scoped,CT3__is_scoped,False,-4.548114776611328,0.0009376112720929086,-0.004264363681323102
68464,98.5,-0.30768877267837524,15,lag_07__T1__flash_duration,T1__flash_duration,True,-5.613832473754883,0.0007527279667556286,-0.004225688703676234
