feature,coefficient,abs_coefficient,base_feature,is_utility
lag_03__T_shots_fired_sum,0.002116675488650799,0.002116675488650799,T_shots_fired_sum,False
lag_08__T_utility_damage_last_5s,-0.0020115997176617384,0.0020115997176617384,T_utility_damage_last_5s,True
lag_11__T_place_ARCH,-0.0019219066016376019,0.0019219066016376019,T_place_ARCH,False
lag_13__T_place_ARCH,0.0018759670201689005,0.0018759670201689005,T_place_ARCH,False
lag_00__kill_diff_last_3s,0.0018202719511464238,0.0018202719511464238,kill_diff_last_3s,False
lag_05__T_shots_fired_sum,-0.0018192499410361052,0.0018192499410361052,T_shots_fired_sum,False
lag_03__T5__flash_duration,0.0017233118414878845,0.0017233118414878845,T5__flash_duration,True
lag_09__T1__flash_duration,-0.0017071706242859364,0.0017071706242859364,T1__flash_duration,True
lag_04__T_shots_fired_sum,-0.0016573240282014012,0.0016573240282014012,T_shots_fired_sum,False
lag_00__T_place_ARCH,-0.0015682651428505778,0.0015682651428505778,T_place_ARCH,False
lag_09__T_flash_duration_sum,-0.001445612171664834,0.001445612171664834,T_flash_duration_sum,True
lag_02__T_kills_last_3s,0.0013671763008460402,0.0013671763008460402,T_kills_last_3s,False
lag_13__T5__flash_duration,0.0013608182780444622,0.0013608182780444622,T5__flash_duration,True
lag_07__T_place_ARCH,0.0013302168808877468,0.0013302168808877468,T_place_ARCH,False
lag_08__T5__is_scoped,0.0013246723683550954,0.0013246723683550954,T5__is_scoped,False
lag_00__T_kills_last_3s,-0.0013172368053346872,0.0013172368053346872,T_kills_last_3s,False
lag_05__T5__flash_duration,-0.0013048216933384538,0.0013048216933384538,T5__flash_duration,True
lag_09__T5__flash_duration,-0.0013022352941334248,0.0013022352941334248,T5__flash_duration,True
lag_00__CT_shots_fired_sum,0.0012693604221567512,0.0012693604221567512,CT_shots_fired_sum,False
lag_08__utility_damage_diff_last_5s,0.0012613991275429726,0.0012613991275429726,utility_damage_diff_last_5s,True
lag_14__T5__flash_duration,0.0011652081739157438,0.0011652081739157438,T5__flash_duration,True
lag_00__damage_diff_last_5s,0.0011494227219372988,0.0011494227219372988,damage_diff_last_5s,False
lag_11__T_place_TOPOFMID,0.001141949906013906,0.001141949906013906,T_place_TOPOFMID,False
lag_03__T_utility_damage_last_5s,-0.001133494544774294,0.001133494544774294,T_utility_damage_last_5s,True
lag_08__CT2__duck_amount,0.0010800723684951663,0.0010800723684951663,CT2__duck_amount,False
lag_08__T4__is_walking,0.0010709080379456282,0.0010709080379456282,T4__is_walking,False
lag_13__T_utility_damage_last_5s,0.0010494064772501588,0.0010494064772501588,T_utility_damage_last_5s,True
lag_02__T_utility_damage_last_5s,-0.001041610143147409,0.001041610143147409,T_utility_damage_last_5s,True
lag_05__T_place_ARCH,-0.0010343315079808235,0.0010343315079808235,T_place_ARCH,False
lag_02__T_shots_fired_sum,0.001026713871397078,0.001026713871397078,T_shots_fired_sum,False
lag_08__T5__flash_duration,-0.0010042899521067739,0.0010042899521067739,T5__flash_duration,True
lag_05__CT_shots_fired_sum,0.0009913489921018481,0.0009913489921018481,CT_shots_fired_sum,False
lag_00__CT_kills_last_3s,0.000983004574663937,0.000983004574663937,CT_kills_last_3s,False
lag_10__T_place_TOPOFMID,0.0009678698843345046,0.0009678698843345046,T_place_TOPOFMID,False
lag_06__T_shots_fired_sum,0.0009557168232277036,0.0009557168232277036,T_shots_fired_sum,False
lag_05__CT3__duck_amount,0.000952454109210521,0.000952454109210521,CT3__duck_amount,False
lag_09__T_flashed_players,-0.0009430951904505491,0.0009430951904505491,T_flashed_players,False
lag_03__CT3__is_scoped,0.0009376112720929086,0.0009376112720929086,CT3__is_scoped,False
lag_02__kill_diff_last_3s,-0.0009282233077101409,0.0009282233077101409,kill_diff_last_3s,False
lag_13__T_flashed_players,0.000927130866330117,0.000927130866330117,T_flashed_players,False
lag_14__CT2__is_walking,-0.0009211620199494064,0.0009211620199494064,CT2__is_walking,False
