feature,coefficient,abs_coefficient
lag_00__CT_place_UNKNOWN,0.001672866870649159,0.001672866870649159
lag_01__CT_place_UNKNOWN,-0.001035762019455433,0.001035762019455433
lag_15__CT_flashes_last_5s,0.0010173761984333396,0.0010173761984333396
lag_12__T_flashes_last_5s,0.0008401550585404038,0.0008401550585404038
lag_05__CT4__flash_duration,-0.0007132263272069395,0.0007132263272069395
lag_12__T4__flash_duration,-0.0006684031104668975,0.0006684031104668975
lag_03__T_place_TSIDELOWER,0.0005917985108681023,0.0005917985108681023
lag_00__CT4__flash_duration,0.0005916728405281901,0.0005916728405281901
lag_14__CT_flashes_last_5s,0.0005327565013431013,0.0005327565013431013
lag_15__T_place_TUNNEL,0.0005273663555271924,0.0005273663555271924
lag_03__T_place_TSIDEUPPER,-0.0004966208362020552,0.0004966208362020552
lag_03__CT_place_UNKNOWN,0.0004883258370682597,0.0004883258370682597
lag_04__CT_place_UNKNOWN,-0.0004837350861635059,0.0004837350861635059
lag_00__T_kills_last_3s,-0.0004656528471969068,0.0004656528471969068
lag_11__T_flashes_last_5s,0.00044102637912146747,0.00044102637912146747
lag_08__T_place_TSIDELOWER,-0.0004207241872791201,0.0004207241872791201
lag_02__T_place_TSIDELOWER,0.00041861942736431956,0.00041861942736431956
lag_10__CT_flashed_players,-0.0004010874545201659,0.0004010874545201659
lag_12__CT_place_TOPOFMID,0.00039550423389300704,0.00039550423389300704
lag_05__CT_flashed_players,-0.0003936089633498341,0.0003936089633498341
lag_00__T4__shots_fired,-0.0003873211971949786,0.0003873211971949786
lag_04__CT4__flash_duration,-0.0003822178696282208,0.0003822178696282208
lag_00__CT4__alive,0.0003671041049528867,0.0003671041049528867
lag_11__T4__flash_duration,-0.0003661455411929637,0.0003661455411929637
lag_00__T_damage_last_5s,-0.0003615061577875167,0.0003615061577875167
lag_11__CT5__duck_amount,-0.0003515631251502782,0.0003515631251502782
lag_00__kill_diff_last_3s,0.0003482758183963597,0.0003482758183963597
lag_08__T_place_RUINS,0.0003409411874599755,0.0003409411874599755
lag_00__CT4__hp,0.00033672864083200693,0.00033672864083200693
lag_14__CT_place_TOPOFMID,-0.00033581984462216496,0.00033581984462216496
lag_14__CT_place_HOUSE,0.0003352666972205043,0.0003352666972205043
lag_00__CT4__armor,0.0003343219868838787,0.0003343219868838787
lag_00__damage_diff_last_5s,0.0003299396485090256,0.0003299396485090256
lag_00__CT4__smoke,0.0003266347630415112,0.0003266347630415112
lag_00__T_shots_fired_sum,-0.0003174249141011387,0.0003174249141011387
lag_01__T_shots_fired_sum,-0.00030658586183562875,0.00030658586183562875
lag_05__CT_flash_duration_sum,-0.0003047442005481571,0.0003047442005481571
lag_07__CT_flashes_last_5s,-0.000298719183774665,0.000298719183774665
lag_07__T4__duck_amount,-0.0002917353413067758,0.0002917353413067758
lag_09__T_place_TSIDELOWER,-0.0002891545882448554,0.0002891545882448554
lag_11__T_place_WATER,0.0002889891911763698,0.0002889891911763698
lag_15__T_place_RUINS,-0.000287805829429999,0.000287805829429999
lag_14__T5__is_walking,-0.00028756618849001825,0.00028756618849001825
lag_12__T_flash_duration_sum,-0.00028585491236299276,0.00028585491236299276
lag_12__CT3__duck_amount,-0.0002816588385030627,0.0002816588385030627
lag_09__T_place_RUINS,0.0002812840975821018,0.0002812840975821018
lag_00__T_place_TSPAWN,0.00027902313740924,0.00027902313740924
lag_01__CT4__flash_duration,0.0002715259906835854,0.0002715259906835854
lag_09__CT3__is_walking,-0.0002695842704270035,0.0002695842704270035
lag_15__T_place_WATER,0.00026914014597423375,0.00026914014597423375
lag_11__CT_place_TOPOFMID,0.0002686261141207069,0.0002686261141207069
