feature,coefficient,abs_coefficient
lag_00__T_kills_last_3s,-0.005139945074915886,0.005139945074915886
lag_00__kill_diff_last_3s,0.005054159555584192,0.005054159555584192
lag_00__damage_diff_last_5s,0.004779938608407974,0.004779938608407974
lag_00__T_damage_last_5s,-0.004237144719809294,0.004237144719809294
lag_00__T_bomb_zone_count,-0.003942005801945925,0.003942005801945925
lag_11__CT5__is_scoped,-0.0037858616560697556,0.0037858616560697556
lag_07__T_bomb_zone_count,-0.003530251095071435,0.003530251095071435
lag_03__T_place_ALLEY,0.003475741483271122,0.003475741483271122
lag_10__CT_place_SIDEHALL,-0.0032359107863157988,0.0032359107863157988
lag_00__T_shots_fired_sum,-0.0031563846860080957,0.0031563846860080957
lag_00__CT_place_SIDEHALL,0.003079464193433523,0.003079464193433523
lag_06__CT5__duck_amount,0.003016285365447402,0.003016285365447402
lag_12__T4__duck_amount,-0.0029910029843449593,0.0029910029843449593
lag_09__T4__duck_amount,0.002736874157562852,0.002736874157562852
lag_03__CT5__is_scoped,0.0026952975895255804,0.0026952975895255804
lag_01__T_kills_last_3s,-0.002601657761260867,0.002601657761260867
lag_10__T5__has_bomb,-0.00239194487221539,0.00239194487221539
lag_15__CT_place_TSIDEUPPER,0.0023685439955443144,0.0023685439955443144
lag_02__T_kills_last_3s,-0.0023480886593461037,0.0023480886593461037
lag_00__CT4__molly,0.002305517205968499,0.002305517205968499
lag_06__CT_place_TSIDELOWER,-0.002305129310116172,0.002305129310116172
lag_00__CT4__alive,0.002295857761055231,0.002295857761055231
lag_00__CT5__alive,0.002276007318869233,0.002276007318869233
lag_00__T_duck_amount_mean,-0.002252595266327262,0.002252595266327262
lag_00__CT5__hp,0.0022464378271251917,0.0022464378271251917
lag_11__CT_scoped_count,-0.0022417206782847643,0.0022417206782847643
lag_02__CT2__alive,0.0022362442687153816,0.0022362442687153816
lag_03__T1__alive,0.0022332128137350082,0.0022332128137350082
lag_10__CT5__duck_amount,-0.0022280823905020952,0.0022280823905020952
lag_02__CT2__hp,0.0022045664954930544,0.0022045664954930544
lag_00__bomb_events_last_5s,0.0021800885442644358,0.0021800885442644358
lag_00__CT4__hp,0.00213413848541677,0.00213413848541677
lag_00__CT5__armor,0.0021315973717719316,0.0021315973717719316
lag_02__CT2__armor,0.0020824221428483725,0.0020824221428483725
lag_00__CT_place_UNKNOWN,0.002069721929728985,0.002069721929728985
lag_00__CT4__has_defuser,0.0020649137441068888,0.0020649137441068888
lag_00__CT4__armor,0.0020600007846951485,0.0020600007846951485
lag_00__alive_diff,0.0020058350637555122,0.0020058350637555122
lag_06__T_bomb_zone_count,0.0020051237661391497,0.0020051237661391497
lag_01__T_damage_last_5s,-0.001999987754970789,0.001999987754970789
lag_00__CT_spread_xy,0.0019989765714854,0.0019989765714854
lag_03__T1__molly,0.001973139587789774,0.001973139587789774
lag_02__CT2__smoke,0.0019285711459815502,0.0019285711459815502
lag_03__T1__smoke,0.0019269275944679976,0.0019269275944679976
lag_00__hp_diff,0.0019210550235584378,0.0019210550235584378
lag_09__CT5__duck_amount,-0.001896988251246512,0.001896988251246512
lag_05__CT2__is_walking,0.0018872693181037903,0.0018872693181037903
lag_10__CT_place_MIDDLE,0.001886063371784985,0.001886063371784985
lag_00__CT5__has_helmet,0.0018813841743394732,0.0018813841743394732
lag_00__CT4__has_helmet,0.001880203140899539,0.001880203140899539
lag_01__kill_diff_last_3s,0.0018755003111436963,0.0018755003111436963
lag_02__CT1__duck_amount,-0.001862996257841587,0.001862996257841587
lag_00__T5__smoke,-0.0018472723895683885,0.0018472723895683885
lag_00__spread_diff,0.0017717598238959908,0.0017717598238959908
lag_02__T_damage_last_5s,-0.0017556514358147979,0.0017556514358147979
lag_10__bomb_events_last_5s,-0.001743396045640111,0.001743396045640111
lag_00__CT_cash_spent_round_sum,0.001740387873724103,0.001740387873724103
lag_02__T1__is_walking,0.0017224336043000221,0.0017224336043000221
lag_03__CT1__is_walking,-0.0017076598014682531,0.0017076598014682531
lag_03__CT_place_TSIDELOWER,0.0016821601893752813,0.0016821601893752813
lag_00__CT_alive,0.0016769097419455647,0.0016769097419455647
lag_06__CT1__is_walking,0.0016421054024249315,0.0016421054024249315
lag_03__CT_scoped_count,0.0016400886233896017,0.0016400886233896017
lag_00__T4__duck_amount,-0.0016310526989400387,0.0016310526989400387
lag_00__closest_enemy_dist_diff,0.0015943091129884124,0.0015943091129884124
lag_10__CT_duck_amount_mean,-0.0015804829308763146,0.0015804829308763146
lag_01__damage_diff_last_5s,0.0015710539883002639,0.0015710539883002639
lag_00__T_place_CTSPAWN,-0.0015687437262386084,0.0015687437262386084
lag_12__T4__is_walking,0.0015305610140785575,0.0015305610140785575
lag_10__CT5__is_scoped,-0.001526033622212708,0.001526033622212708
