utility_category,round_presence_count,mean_abs_coefficient,max_abs_coefficient
flash_hatas,8,0.0019161288946633877,0.0039816554635763
site_inferno,5,0.0011719143134541201,0.0017712383996695
molly_inventory,3,0.0011747263682384667,0.0017235171981155
inferno,3,0.0009191715701793,0.0009977591689676
flash_inventory,3,0.0008704219750749,0.0010591733735054
utility_inventory,2,0.00132740341359745,0.001421942259185
utility_damage,2,0.0011777425534091,0.0016039765905588
smoke_inventory,2,0.0009013048547785001,0.0009951699757948
site_smoke,2,0.00057435869894105,0.0010347538627684
smoke,1,0.0001237215910805,0.0001237215910805
