feature,coefficient,abs_coefficient,base_feature,is_utility
lag_09__T_place_SILO,-0.0022372181992977858,0.0022372181992977858,T_place_SILO,False
lag_00__CT_place_TROPHY,0.002195605542510748,0.002195605542510748,CT_place_TROPHY,False
lag_13__CT_place_SQUEAKY,0.0020736202131956816,0.0020736202131956816,CT_place_SQUEAKY,False
lag_00__kill_diff_last_3s,0.00165207264944911,0.00165207264944911,kill_diff_last_3s,False
lag_03__T4__flash_duration,0.0016275746747851372,0.0016275746747851372,T4__flash_duration,True
lag_12__T_place_SILO,-0.001600228832103312,0.001600228832103312,T_place_SILO,False
lag_10__CT_place_LOBBY,0.001503840903751552,0.001503840903751552,CT_place_LOBBY,False
lag_11__T_place_SILO,-0.00150196289177984,0.00150196289177984,T_place_SILO,False
lag_00__T_place_SILO,-0.0013962885132059455,0.0013962885132059455,T_place_SILO,False
lag_13__T_place_ROOF,0.0013397122966125607,0.0013397122966125607,T_place_ROOF,False
lag_14__CT_place_SQUEAKY,0.0012253271415829659,0.0012253271415829659,CT_place_SQUEAKY,False
lag_13__T_place_SILO,-0.0012167717795819044,0.0012167717795819044,T_place_SILO,False
lag_03__CT2__flash_duration,0.0012135603465139866,0.0012135603465139866,CT2__flash_duration,True
lag_10__T_place_SILO,-0.0011784567032009363,0.0011784567032009363,T_place_SILO,False
lag_10__CT_place_HUT,-0.001147466478869319,0.001147466478869319,CT_place_HUT,False
lag_15__CT_place_SQUEAKY,0.0011180156143382192,0.0011180156143382192,CT_place_SQUEAKY,False
lag_12__CT_place_GARAGE,0.0010763827012851834,0.0010763827012851834,CT_place_GARAGE,False
lag_00__T_kills_last_3s,-0.0010732256341725588,0.0010732256341725588,T_kills_last_3s,False
lag_00__CT_place_LOBBY,-0.0010611460311338305,0.0010611460311338305,CT_place_LOBBY,False
lag_09__CT_place_MINI,0.0010579025838524103,0.0010579025838524103,CT_place_MINI,False
lag_00__CT_kills_last_3s,0.001003619865514338,0.001003619865514338,CT_kills_last_3s,False
lag_11__CT_place_GARAGE,0.0009987662779167295,0.0009987662779167295,CT_place_GARAGE,False
lag_00__T2__alive,-0.0009713631006889045,0.0009713631006889045,T2__alive,False
lag_13__CT3__duck_amount,0.0009648369741626084,0.0009648369741626084,CT3__duck_amount,False
lag_04__T_bomb_zone_count,-0.0009612398571334779,0.0009612398571334779,T_bomb_zone_count,False
lag_07__T5__alive,-0.0009526874637231231,0.0009526874637231231,T5__alive,False
lag_10__T3__duck_amount,-0.0009495291742496192,0.0009495291742496192,T3__duck_amount,False
lag_08__T5__duck_amount,0.0009318894008174539,0.0009318894008174539,T5__duck_amount,False
