tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
53343,73.5,0.22877458482980728,1,lag_09__T_place_HELL,T_place_HELL,False,21.323461532592773,0.002553024794906378,0.0544393260059417
53343,73.5,0.22877458482980728,2,lag_00__T_place_HELL,T_place_HELL,False,-21.323461532592773,-0.0024989929515868425,0.05328718007338251
53343,73.5,0.22877458482980728,3,lag_13__T_place_HELL,T_place_HELL,False,21.323461532592773,0.001526703592389822,0.03255460532399557
53343,73.5,0.22877458482980728,4,lag_14__T_place_ADMIN,T_place_ADMIN,False,-19.439250946044922,-0.0009422642760910094,0.018316911720426488
53343,73.5,0.22877458482980728,5,lag_07__T_place_HELL,T_place_HELL,False,-21.323461532592773,-0.000696833070833236,0.014858893180551003
53343,73.5,0.22877458482980728,6,lag_13__T_place_ADMIN,T_place_ADMIN,False,-19.43924903869629,0.0005436748615466058,-0.010568631029683195
53343,73.5,0.22877458482980728,7,lag_09__T_place_ADMIN,T_place_ADMIN,False,-19.439252853393555,0.00040360077400691807,-0.00784569749774583
53343,73.5,0.22877458482980728,8,lag_05__T_place_TROPHY,T_place_TROPHY,False,6.341568470001221,0.0008105636807158589,0.0051402450805558275
53343,73.5,0.22877458482980728,9,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,2.4069459438323975,0.0021159856114536524,0.005093062984696084
53343,73.5,0.22877458482980728,10,lag_10__T_place_RAMP,T_place_RAMP,False,-3.5366947650909424,-0.0011502507841214538,0.004068085926744097
53343,73.5,0.22877458482980728,11,lag_08__bomb_events_last_5s,bomb_events_last_5s,False,-4.178802490234375,-0.0007540174992755055,0.0031508902036527786
53343,73.5,0.22877458482980728,12,lag_06__CT_duck_amount_mean,CT_duck_amount_mean,False,-2.4454293251037598,-0.0012527735671028495,0.003063569218708151
53343,73.5,0.22877458482980728,13,lag_07__CT4__duck_amount,CT4__duck_amount,False,3.6725916862487793,0.000689393375068903,0.0025318603778330395
53343,73.5,0.22877458482980728,14,lag_13__CT4__duck_amount,CT4__duck_amount,False,3.6725916862487793,0.0006726017454639077,0.002470191578547165
53343,73.5,0.22877458482980728,15,lag_00__CT_kills_last_3s,CT_kills_last_3s,False,2.8871407508850098,0.0007946721161715686,0.0022943302501909624
53343,73.5,0.22877458482980728,16,lag_05__CT2__duck_amount,CT2__duck_amount,False,-3.8097944259643555,-0.0005380239454098046,0.002049760628257624
53343,73.5,0.22877458482980728,17,lag_14__CT2__is_walking,CT2__is_walking,False,-2.360051155090332,-0.0007821843028068542,0.0018459949673328424
53343,73.5,0.22877458482980728,18,lag_06__CT4__duck_amount,CT4__duck_amount,False,-3.6725916862487793,-0.0004742967721540481,0.0017418983822275885
53343,73.5,0.22877458482980728,19,lag_12__T3__is_walking,T3__is_walking,False,2.3223767280578613,0.0007210660260170698,0.0016745869582152073
