idx,csv_path,round_num,rows,true_ct_win,winner_by_mean_abs_error,winner_by_brier,winner_by_logloss,lstm_mean_abs_error,xgboost_mean_abs_error,lstm_brier,xgboost_brier,lstm_logloss,xgboost_logloss,lstm_accuracy_at_0_5,xgboost_accuracy_at_0_5,lstm_closer,xgboost_closer,tie
1,processed_full\esl_pro_league_season_22\esl-pro-league-season-22-the-mongolz-vs-natus-vincere-bo3-PG4ywdeF4kSxWHc10zCBZ3\the-mongolz-vs-natus-vincere-m1-nuke.csv,1,193,1,xgboost,xgboost,xgboost,0.2136029310794692,0.1730774282791454,0.09157538678470575,0.07466220386960266,0.2868512568168916,0.2343882998901475,0.917098445595855,0.917098445595855,16,177,0
2,processed_full\esl_pro_league_season_22\esl-pro-league-season-22-the-mongolz-vs-natus-vincere-bo3-PG4ywdeF4kSxWHc10zCBZ3\the-mongolz-vs-natus-vincere-m1-nuke.csv,3,145,0,lstm,lstm,lstm,0.1626370466414614,0.2213422423260736,0.06352962678335952,0.0945770967424173,0.2076977073109647,0.2917408535827414,1.0,0.9862068965517241,139,6,0
3,processed_full\esl_pro_league_season_21\esl-pro-league-season-21-vitality-vs-the-mongolz-bo3-7VmOOQFfF_Xgx4vOG4cYIY\vitality-vs-the-mongolz-m1-anubis.csv,6,144,1,xgboost,xgboost,xgboost,0.6643906724639237,0.5336563926604059,0.5141889753522455,0.3355992519959022,1.3750042260786683,0.8559900001945958,0.16666666666666666,0.2152777777777778,0,144,0
4,processed_full\esl_pro_league_season_22\esl-pro-league-season-22-the-mongolz-vs-natus-vincere-bo3-PG4ywdeF4kSxWHc10zCBZ3\the-mongolz-vs-natus-vincere-m1-nuke.csv,7,180,0,lstm,lstm,lstm,0.24466634824897887,0.3687046879902482,0.10039220142866681,0.1666892351893104,0.3188014457861538,0.49952885030455324,0.85,0.5944444444444444,178,2,0
5,processed_full\blast_austin_major\blasttv-austin-major-2025-the-mongolz-vs-faze-bo3-HypmoQ2OL2Ts_Mqj1_9ELG\the-mongolz-vs-faze-m2-anubis.csv,2,250,1,xgboost,xgboost,xgboost,0.5006039120554924,0.4315795402526855,0.30066906281250216,0.23004064790551862,0.8009269317280211,0.6271742781537155,0.376,0.644,46,204,0
6,processed_full\esl_pro_league_season_21\esl-pro-league-season-21-vitality-vs-the-mongolz-bo3-7VmOOQFfF_Xgx4vOG4cYIY\vitality-vs-the-mongolz-m1-anubis.csv,12,176,0,lstm,lstm,lstm,0.2345981476087631,0.29783780267462134,0.09075253214081672,0.12199732725583551,0.3046950382700286,0.39272377357266186,0.8125,0.8068181818181818,155,21,0
7,processed_full\blast_austin_major_stage_1\blasttv-austin-major-2025-stage-1-flyquest-vs-fluxo-ancient-YrTVvYzgDXauKEykMAFJPX\flyquest-vs-fluxo-ancient.csv,8,231,1,xgboost,xgboost,xgboost,0.404425912572966,0.39455233714281224,0.21898161927106713,0.21055928631529378,0.6304816512657301,0.5887966284531767,0.7792207792207793,0.7878787878787878,108,123,0
8,processed_full\blast_austin_major_stage_1\blasttv-austin-major-2025-stage-1-flyquest-vs-fluxo-ancient-YrTVvYzgDXauKEykMAFJPX\flyquest-vs-fluxo-ancient.csv,2,121,1,xgboost,xgboost,xgboost,0.05962237099970667,0.021818712723156636,0.003717555270108577,0.0004983009220116665,0.06156625506473585,0.022071865020244486,1.0,1.0,0,121,0
9,processed_full\blast_austin_major\blasttv-austin-major-2025-the-mongolz-vs-faze-bo3-HypmoQ2OL2Ts_Mqj1_9ELG\the-mongolz-vs-faze-m2-anubis.csv,4,144,1,xgboost,xgboost,xgboost,0.5373201332986355,0.5241277256152697,0.3577650125766182,0.32994422759543335,0.9575108126862162,0.8431930217306218,0.4097222222222222,0.22916666666666666,62,82,0
10,processed_full\esl_pro_league_season_22\esl-pro-league-season-22-vitality-vs-hotu-bo3-g2oB3RySVGugmKq6yJcHo9\vitality-vs-hotu-m2-dust2.csv,3,126,0,xgboost,xgboost,xgboost,0.14410194709143115,0.12817464525707895,0.05754438382424627,0.0405016604893359,0.18842266268724617,0.15651537265938564,0.8571428571428571,1.0,77,49,0
