base_feature,is_utility,top10_count,mean_abs_coefficient,max_abs_coefficient
kill_diff_last_3s,False,8,0.0027063415327574624,0.0052768508903682
T_kills_last_3s,False,6,0.0022657773030610832,0.0039326953701674
CT_place_OUTSIDELONG,False,5,0.0022626963676884203,0.0027869655750691
damage_diff_last_5s,False,4,0.002330393530428375,0.0038952736649662
T_place_HELL,False,4,0.0020516835211310002,0.0025530247949063
T_place_SILO,False,4,0.001683924609096675,0.0022372181992977
CT_shots_fired_sum,False,3,0.002954671508632533,0.0047326660715043
T_bomb_zone_count,False,3,0.0026727238049109,0.0035424528177827
CT_kills_last_3s,False,3,0.0021808465244248,0.0041242064908146
CT_place_BRIDGE,False,3,0.0020578252539659,0.0021614946890622
CT_place_TSIDELOWER,False,3,0.00039076628551503335,0.0006404484156519
CT_place_HOLE,False,2,0.00268396793399005,0.0027396453078836
CT_place_TUNNEL,False,2,0.0025881739566102,0.0026838709600269
CT_place_WALKWAY,False,2,0.0024347301223315,0.003064242657274
CT_place_CTSIDEUPPER,False,2,0.00240486604161555,0.0031239206437021
T4__flash_duration,True,2,0.00240105716511605,0.003174539655447
CT5__flash_duration,True,2,0.0022948607802390497,0.002396001946181
CT_place_HEAVEN,False,2,0.0021111933747305998,0.0028371862135827
T1__flash_duration,True,2,0.002065320208203,0.0027603080961853
T_place_HUT,False,2,0.0020585138117894,0.0024567325599491
T1__is_scoped,False,2,0.00175894895801315,0.0017766221426427
CT_place_BRICKS,False,2,0.00161995901726185,0.0018644956871867
CT_place_FOUNTAIN,False,2,0.0015136022702790502,0.00169734924566
T_place_ROOF,False,2,0.00132185005350035,0.0013397122966125
T_flash_alpha_mean,True,1,0.0039816554635763,0.0039816554635763
T3__flash_duration,True,1,0.0031413862016052,0.0031413862016052
CT_defusing_count,False,1,0.0029555545188486,0.0029555545188486
T4__duck_amount,False,1,0.0028162912931293,0.0028162912931293
CT_place_CANAL,False,1,0.0027391570620238,0.0027391570620238
T_place_MAIN,False,1,0.0025313347578048,0.0025313347578048
CT_place_MAINHALL,False,1,0.00245449738577,0.00245449738577
CT_place_TROPHY,False,1,0.0021956055425107,0.0021956055425107
CT_place_SQUEAKY,False,1,0.0020736202131956,0.0020736202131956
CT_flashed_players,False,1,0.0020435843616724,0.0020435843616724
CT1__flash_duration,True,1,0.0019226303556934,0.0019226303556934
CT_place_RUINS,False,1,0.001900773262605,0.001900773262605
T_place_STREET,False,1,0.0018841056153178,0.0018841056153178
T2__flash_duration,True,1,0.0018504241015762,0.0018504241015762
T_flashed_players,False,1,0.0018244149396196,0.0018244149396196
T_shots_fired_sum,False,1,0.0018232642905786,0.0018232642905786
CT_utility_damage_last_5s,True,1,0.0016039765905588,0.0016039765905588
CT_place_LOBBY,False,1,0.0015038409037515,0.0015038409037515
T_damage_last_5s,False,1,0.0014597283443436,0.0014597283443436
CT3__duck_amount,False,1,0.0014358018524944,0.0014358018524944
T_place_SQUEAKY,False,1,0.0013696799287572,0.0013696799287572
CT3__flash_duration,True,1,0.0012706796405836,0.0012706796405836
CT3__is_walking,False,1,0.0005793568561784,0.0005793568561784
CT_walking_count,False,1,0.0003233202151022,0.0003233202151022
T_walking_count,False,1,0.0003041083400603,0.0003041083400603
T3__is_walking,False,1,0.0002995394170284,0.0002995394170284
CT_damage_last_5s,False,1,0.000238737789914,0.000238737789914
CT2__duck_amount,False,1,0.0002343457745155,0.0002343457745155
