tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
70452,77.0,-0.20456171035766602,1,lag_06__T_place_WATER,T_place_WATER,False,-5.707828998565674,0.0016607699217274785,-0.009479390719181746
70452,77.0,-0.20456171035766602,2,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.002861314918845892,-0.006887030337943245
70452,77.0,-0.20456171035766602,3,lag_10__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,4.88030481338501,-0.0013287551701068878,-0.006484730252482862
70452,77.0,-0.20456171035766602,4,lag_09__T_place_TUNNEL,T_place_TUNNEL,False,-6.073914527893066,0.0010552796302363276,-0.006409678277082054
70452,77.0,-0.20456171035766602,5,lag_08__T1__duck_amount,T1__duck_amount,False,-3.915480136871338,0.001408986165188253,-0.005516857342921122
70452,77.0,-0.20456171035766602,6,lag_14__CT_place_HOUSE,CT_place_HOUSE,False,3.5328707695007324,-0.001485933898948133,-0.005249612437004114
70452,77.0,-0.20456171035766602,7,lag_15__CT1__duck_amount,CT1__duck_amount,False,-3.8154516220092773,0.0012276243651285768,-0.0046839413751479375
70452,77.0,-0.20456171035766602,8,lag_00__T_kills_last_3s,T_kills_last_3s,False,3.1681017875671387,-0.001437408267520368,-0.004553855701795062
70452,77.0,-0.20456171035766602,9,lag_09__T_place_WATER,T_place_WATER,False,5.707828998565674,-0.0006754461792297661,-0.0038553312887780467
70452,77.0,-0.20456171035766602,10,lag_14__T_place_TUNNEL,T_place_TUNNEL,False,6.073914527893066,-0.0006317136576399207,-0.003836974762607581
70452,77.0,-0.20456171035766602,11,lag_05__T2__duck_amount,T2__duck_amount,False,-3.8233180046081543,0.0009727999567985535,-0.003719323589709944
70452,77.0,-0.20456171035766602,12,lag_00__CT5__is_scoped,CT5__is_scoped,False,3.5760385990142822,-0.0010211574845016003,-0.0036516985802500512
70452,77.0,-0.20456171035766602,13,lag_03__CT5__duck_amount,CT5__duck_amount,False,-3.7749595642089844,0.0009560545440763235,-0.0036090672450663774
70452,77.0,-0.20456171035766602,14,lag_07__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,4.880305290222168,-0.000731223146431148,-0.003568592189860831
70452,77.0,-0.20456171035766602,15,lag_07__T2__duck_amount,T2__duck_amount,False,3.8233180046081543,-0.0009172044228762388,-0.003506764183888955
70452,77.0,-0.20456171035766602,16,lag_14__CT1__duck_amount,CT1__duck_amount,False,3.8154516220092773,-0.0009113277774304152,-0.003477127046578987
70452,77.0,-0.20456171035766602,17,lag_11__T2__duck_amount,T2__duck_amount,False,3.8233180046081543,-0.0008772220462560654,-0.003353898843490022
70452,77.0,-0.20456171035766602,18,lag_03__CT2__duck_amount,CT2__duck_amount,False,3.318258762359619,-0.0009875113610178232,-0.003276818226627065
70452,77.0,-0.20456171035766602,19,lag_09__CT1__duck_amount,CT1__duck_amount,False,-2.6573023796081543,0.0011604925384745002,-0.003083779584005797
70452,77.0,-0.20456171035766602,20,lag_00__CT_place_SIDEENTRANCE,CT_place_SIDEENTRANCE,False,-4.025265216827393,0.0007635719375684857,-0.003073579560839923
70356,75.5,0.20034116506576538,1,lag_06__T_place_WATER,T_place_WATER,False,5.707828998565674,0.0016607699217274785,0.009479390719181746
70356,75.5,0.20034116506576538,2,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,2.4069459438323975,0.002861314918845892,0.006887030337943245
70356,75.5,0.20034116506576538,3,lag_02__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,4.880304336547852,0.0013405297650024295,0.006542193225412829
70356,75.5,0.20034116506576538,4,lag_11__T_place_TUNNEL,T_place_TUNNEL,False,6.073914527893066,0.0010536951012909412,0.006400053983700804
70356,75.5,0.20034116506576538,5,lag_00__CT_kills_last_3s,CT_kills_last_3s,False,2.8871407508850098,0.002122225472703576,0.0061271636448086975
70356,75.5,0.20034116506576538,6,lag_14__CT_place_HOUSE,CT_place_HOUSE,False,-3.5328707695007324,-0.001485933898948133,0.005249612437004114
70356,75.5,0.20034116506576538,7,lag_05__T1__duck_amount,T1__duck_amount,False,-3.915480136871338,-0.0011951016495004296,0.004679396770161104
70356,75.5,0.20034116506576538,8,lag_03__T_place_WATER,T_place_WATER,False,-5.707828998565674,-0.0007949965074658394,0.00453770411907195
70356,75.5,0.20034116506576538,9,lag_04__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,4.880305290222168,0.0009252026793546975,0.004515271530582454
70356,75.5,0.20034116506576538,10,lag_11__CT1__duck_amount,CT1__duck_amount,False,3.8154516220092773,0.0011582254664972425,0.004419153234799356
70356,75.5,0.20034116506576538,11,lag_06__T_place_TUNNEL,T_place_TUNNEL,False,-6.073914527893066,-0.000726469443179667,0.004412513304999366
70356,75.5,0.20034116506576538,12,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,2.1657395362854004,0.0020065398421138525,0.004345642667197835
70356,75.5,0.20034116506576538,13,lag_00__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,-4.880304336547852,-0.0008094582008197904,0.003950402367715045
70356,75.5,0.20034116506576538,14,lag_00__CT5__is_scoped,CT5__is_scoped,False,-3.5760385990142822,-0.0010211574845016003,0.0036516985802500512
70356,75.5,0.20034116506576538,15,lag_07__T_place_SIDEENTRANCE,T_place_SIDEENTRANCE,False,4.88030481338501,-0.000731223146431148,-0.0035685918411864637
70356,75.5,0.20034116506576538,16,lag_07__T2__duck_amount,T2__duck_amount,False,-3.8233180046081543,-0.0009172044228762388,0.003506764183888955
70356,75.5,0.20034116506576538,17,lag_07__T1__duck_amount,T1__duck_amount,False,3.6010189056396484,0.0009257072815671563,0.003333489422011615
70356,75.5,0.20034116506576538,18,lag_08__CT2__is_walking,CT2__is_walking,False,-2.360051155090332,-0.0012540430761873722,0.002959605810489041
70356,75.5,0.20034116506576538,19,lag_12__T_place_TSIDEUPPER,T_place_TSIDEUPPER,False,2.5222225189208984,0.001108978409320116,0.0027970903169842742
70356,75.5,0.20034116506576538,20,lag_04__T5__is_walking,T5__is_walking,False,2.3193888664245605,0.001167758135125041,0.0027084852172857277
70900,84.0,0.1716322898864746,1,lag_15__CT1__duck_amount,CT1__duck_amount,False,3.8154516220092773,0.0012276243651285768,0.0046839413751479375
70900,84.0,0.1716322898864746,2,lag_13__T3__duck_amount,T3__duck_amount,False,-3.7704498767852783,-0.0011966044548898935,0.004511737119500314
70900,84.0,0.1716322898864746,3,lag_14__CT5__is_scoped,CT5__is_scoped,False,3.5760385990142822,0.0011984525481238961,0.004285712571178074
70900,84.0,0.1716322898864746,4,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,2.0078210830688477,0.0020065398421138525,0.00402877299901383
70900,84.0,0.1716322898864746,5,lag_10__CT_place_HOUSE,CT_place_HOUSE,False,-3.5328707695007324,-0.0009691374143585563,0.003423837242816863
70900,84.0,0.1716322898864746,6,lag_14__CT_place_SIDEENTRANCE,CT_place_SIDEENTRANCE,False,-4.025265216827393,-0.0008174208924174309,0.0032903358857558906
70900,84.0,0.1716322898864746,7,lag_02__T_place_RAMP,T_place_RAMP,False,-3.5366947650909424,-0.0008950749761424959,0.0031656069824870653
