feature,coefficient,abs_coefficient,base_feature,is_utility
lag_00__kill_diff_last_3s,0.002316709142178297,0.002316709142178297,kill_diff_last_3s,False
lag_10__CT_place_BACKOFA,0.0020209962967783213,0.0020209962967783213,CT_place_BACKOFA,False
lag_07__CT_place_STAIRS,-0.001941000227816403,0.001941000227816403,CT_place_STAIRS,False
lag_05__T4__is_scoped,-0.001909452024847269,0.001909452024847269,T4__is_scoped,False
lag_12__CT_place_STAIRS,-0.0017909948946908116,0.0017909948946908116,CT_place_STAIRS,False
lag_00__CT_kills_last_3s,0.001618361915461719,0.001618361915461719,CT_kills_last_3s,False
lag_12__CT_place_LOWERPARK,-0.0015502794412896037,0.0015502794412896037,CT_place_LOWERPARK,False
lag_00__CT_place_BACKOFA,0.001462654210627079,0.001462654210627079,CT_place_BACKOFA,False
lag_04__CT_place_LOWERPARK,0.0014550097985193133,0.0014550097985193133,CT_place_LOWERPARK,False
lag_08__CT_place_BACKOFA,0.0014256545109674335,0.0014256545109674335,CT_place_BACKOFA,False
lag_00__T_place_LOWERPARK,-0.0014036961365491152,0.0014036961365491152,T_place_LOWERPARK,False
lag_00__damage_diff_last_5s,0.001403674716129899,0.001403674716129899,damage_diff_last_5s,False
lag_08__CT_place_STAIRS,-0.0013941730139777064,0.0013941730139777064,CT_place_STAIRS,False
lag_14__CT3__flash_duration,0.001341099850833416,0.001341099850833416,CT3__flash_duration,True
lag_00__CT_flashed_players,0.0013240035623311996,0.0013240035623311996,CT_flashed_players,False
lag_09__CT_place_BACKOFA,0.0012978879967704415,0.0012978879967704415,CT_place_BACKOFA,False
lag_11__CT_place_BACKOFA,0.0012956687714904547,0.0012956687714904547,CT_place_BACKOFA,False
lag_12__T4__is_scoped,0.00128293433226645,0.00128293433226645,T4__is_scoped,False
lag_01__CT_place_BACKOFA,0.0012786411680281162,0.0012786411680281162,CT_place_BACKOFA,False
lag_00__T_kills_last_3s,-0.001273476635105908,0.001273476635105908,T_kills_last_3s,False
lag_05__T_scoped_count,-0.0011827923590317369,0.0011827923590317369,T_scoped_count,False
lag_00__CT_shots_fired_sum,0.0011480681132525206,0.0011480681132525206,CT_shots_fired_sum,False
lag_00__T_place_PLAYGROUND,0.0011456828797236085,0.0011456828797236085,T_place_PLAYGROUND,False
lag_04__CT2__flash_duration,0.0011341954814270139,0.0011341954814270139,CT2__flash_duration,True
lag_00__CT_place_WATER,0.0011229824740439653,0.0011229824740439653,CT_place_WATER,False
lag_11__CT_place_STAIRS,-0.001117406995035708,0.001117406995035708,CT_place_STAIRS,False
lag_04__CT_place_BACKOFA,-0.0011035798816010356,0.0011035798816010356,CT_place_BACKOFA,False
lag_10__CT_place_UNDERA,-0.0010676197707653046,0.0010676197707653046,CT_place_UNDERA,False
lag_14__CT_place_LOWERPARK,-0.0010531807783991098,0.0010531807783991098,CT_place_LOWERPARK,False
lag_05__CT4__duck_amount,-0.0010155036579817533,0.0010155036579817533,CT4__duck_amount,False
lag_02__CT_place_BACKOFA,0.0010039552580565214,0.0010039552580565214,CT_place_BACKOFA,False
lag_13__CT_place_WATER,0.0009949695086106658,0.0009949695086106658,CT_place_WATER,False
lag_01__T_place_ALLEY,-0.0009908652864396572,0.0009908652864396572,T_place_ALLEY,False
lag_03__T_kills_last_3s,0.0009832170326262712,0.0009832170326262712,T_kills_last_3s,False
lag_08__T5__is_walking,-0.0009578275494277477,0.0009578275494277477,T5__is_walking,False
lag_00__CT2__flash_duration,0.0009573386050760746,0.0009573386050760746,CT2__flash_duration,True
lag_12__CT1__is_walking,0.0009545597131364048,0.0009545597131364048,CT1__is_walking,False
lag_03__CT_place_LOWERPARK,0.0009483166504651308,0.0009483166504651308,CT_place_LOWERPARK,False
lag_00__CT_place_STAIRS,0.0009421921567991376,0.0009421921567991376,CT_place_STAIRS,False
lag_12__CT_place_UNDERA,0.0009266090928576887,0.0009266090928576887,CT_place_UNDERA,False
lag_15__CT2__flash_duration,-0.000920299906283617,0.000920299906283617,CT2__flash_duration,True
lag_08__CT2__duck_amount,0.0008890992030501366,0.0008890992030501366,CT2__duck_amount,False
lag_00__CT_place_UNDERA,-0.0008793245069682598,0.0008793245069682598,CT_place_UNDERA,False
lag_00__CT_place_LOWERPARK,0.0008694212883710861,0.0008694212883710861,CT_place_LOWERPARK,False
lag_07__T2__is_walking,-0.0008691604598425329,0.0008691604598425329,T2__is_walking,False
