idx,csv_path,round_num,rows,true_ct_win,winner_by_mean_abs_error,winner_by_brier,winner_by_logloss,lstm_mean_abs_error,xgboost_mean_abs_error,lstm_brier,xgboost_brier,lstm_logloss,xgboost_logloss,lstm_accuracy_at_0_5,xgboost_accuracy_at_0_5,lstm_closer,xgboost_closer,tie
1,processed_full/blast_open_london/blast-open-london-2025-vitality-vs-faze-bo3-cXlexQJNK-6GX9ddkYcv53/vitality-vs-faze-m1-mirage.csv,15,206,0,lstm,lstm,lstm,0.23634712398278265,0.2572162392033825,0.11244766379499196,0.11297021930733474,0.32427419829554255,0.3425269961746768,0.6844660194174758,0.8252427184466019,134,72,0
2,processed_full/blast_bounty_season_1/blast-bounty-2025-season-1-flyquest-vs-mibr-bo3-qPrK-wzQgATa8KQ5HjYeOS/flyquest-vs-mibr-m1-nuke.csv,4,194,1,xgboost,xgboost,xgboost,0.675517898821032,0.5660476744482198,0.5283912353462347,0.37402840141730914,1.4024680981708435,0.9421567150504996,0.23195876288659795,0.24742268041237114,6,188,0
3,processed_full/blast_bounty_season_1/blast-bounty-2025-season-1-flyquest-vs-mibr-bo3-qPrK-wzQgATa8KQ5HjYeOS/flyquest-vs-mibr-m1-nuke.csv,12,190,1,xgboost,xgboost,xgboost,0.30808023841757526,0.26580420105080854,0.10907238198466108,0.0858042895087819,0.38145553930493337,0.3216716955393179,1.0,1.0,21,169,0
4,processed_full/iem_cologne/iem-cologne-2025-the-mongolz-vs-3dmax-bo3-NhOpC3bR-AJd86c-60IeuJ/the-mongolz-vs-3dmax-m1-nuke.csv,13,169,0,lstm,lstm,lstm,0.4931674492738303,0.6108645411020905,0.27962097768604377,0.4089525068213791,0.7459738855950833,1.0856630035335983,0.23076923076923078,0.15976331360946747,168,1,0
5,processed_full/iem_katowice/iem-katowice-2025-gamerlegion-vs-the-mongolz-bo3-zdjI5BKx0DIgDYoNAnfKpI/gamerlegion-vs-the-mongolz-m2-mirage.csv,6,219,1,xgboost,xgboost,xgboost,0.9036624712367717,0.8400026089660654,0.8315028401740919,0.7335024040610978,3.0727485989936416,2.2631030146105178,0.0,0.1141552511415525,11,208,0
6,processed_full/esl_pro_league_season_22/esl-pro-league-season-22-furia-vs-vitality-bo3-ZNzuF_vw0WBzn8QEbGrbgj/furia-vs-vitality-m1-overpass.csv,3,251,1,xgboost,xgboost,xgboost,0.5207340805030677,0.46869193424147915,0.29782968427025985,0.23105505937454945,0.844015739405406,0.6622343268290173,0.5776892430278885,0.8406374501992032,109,142,0
7,processed_full/iem_chengdu/iem-chengdu-2025-lynn-vision-vs-3dmax-bo3-peFr0yEP4eKTMrYfeYqBZK/lynn-vision-vs-3dmax-m3-train.csv,17,218,1,xgboost,xgboost,xgboost,0.5020107795065696,0.44781023099881795,0.26367169845089716,0.21186061788132238,0.7178501942896639,0.6107901497961051,0.26146788990825687,0.9495412844036697,3,215,0
8,processed_full/iem_chengdu/iem-chengdu-2025-lynn-vision-vs-vitality-bo3-ZpOL0o26IrRvvgFRbFxVou/lynn-vision-vs-vitality-m1-dust2.csv,15,261,0,lstm,lstm,lstm,0.2952349955025147,0.3533874675417426,0.12183669209338321,0.15978245975934996,0.38297767762523366,0.47221501555680157,0.946360153256705,1.0,207,54,0
9,processed_full/esl_pro_league_season_22_stage_1/esl-pro-league-season-22-stage-1-astralis-vs-legacy-bo3-o9hWAn-ugamRsSw8ngEfHF/astralis-vs-legacy-m3-ancient.csv,7,150,0,lstm,lstm,lstm,0.1945868388726376,0.31288918560991685,0.0496330035202571,0.11469496742687303,0.22512921395347063,0.3907469574830377,1.0,1.0,150,0,0
10,processed_full/fissure_playground_1/fissure-playground-1-3dmax-vs-rare-atom-bo3-DWQZo2y3LVjgpuOkyCDf4V/3dmax-vs-rare-atom-m2-ancient.csv,4,155,1,lstm,lstm,lstm,0.396282733063544,0.4217367858655991,0.18288686684333003,0.2117710583984188,0.5338843269092938,0.5888197049404325,0.832258064516129,0.4064516129032258,116,39,0
11,processed_full/iem_chengdu/iem-chengdu-2025-vitality-vs-astralis-bo3-Zley6FZuKcttfrliAqsvWJ/astralis-vs-vitality-m1-inferno.csv,9,105,1,xgboost,xgboost,xgboost,0.4245186902227856,0.3813344098272778,0.21983502249424525,0.18653223745527217,0.6141944099804743,0.5369637795239715,0.4857142857142857,0.8,21,84,0
12,processed_full/blast_austin_major/blasttv-austin-major-2025-3dmax-vs-vitality-nuke-h8drweGjLe5Dwjfuh5VfUb/3dmax-vs-vitality-nuke.csv,2,141,1,xgboost,xgboost,xgboost,0.06883099696314926,0.01853980874338894,0.005183887418447868,0.0003514104818577381,0.07157257185540947,0.018717779950503177,1.0,1.0,0,141,0
