utility_category,round_presence_count,mean_abs_coefficient,max_abs_coefficient
flash_hatas,62,0.001896114534892717,0.0081843538209795
smoke_inventory,45,0.0008863043356945083,0.0027500165160745
site_inferno,43,0.0010881378571908394,0.0030593441333621
molly_inventory,39,0.0010787917611499156,0.002667810767889
flash_inventory,36,0.0011316994837720833,0.0032651857472956
utility_inventory,26,0.0011015361322698558,0.0023915120400488
inferno,26,0.0009169289920603924,0.0020397757180035
utility_damage,22,0.0012091864297292985,0.0045362534001469
recent_utility,18,0.0014067541180540278,0.0023856938350945
site_smoke,13,0.0009613716795753615,0.0018273114692419
smoke,4,0.00084675083053295,0.0013359360164031
