feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT1__has_bomb,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT2__has_bomb,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT3__has_bomb,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT4__has_bomb,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT5__has_bomb,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_bomb_carrier_alive,state,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_bomb_zone_count,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T1__has_defuser,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T2__has_defuser,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T3__has_defuser,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T4__has_defuser,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T5__has_defuser,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T_defuser_count,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T_defusing_count,objective,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
T_place_UNKNOWN,position,3734887,3734887,3734887,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_place_DECK,position,3734887,3734887,3734679,208,5.569110926247568e-05,2.0,False,0.0,1.0,5.569110926247568e-05,0.007462439799611437,False,True,False,False
CT_place_DUMPSTER,position,3734887,3734887,3733565,1322,0.00035395983867785025,4.0,False,0.0,3.0,0.0003609212273356597,0.019385167613135804,False,True,False,False
CT_place_KITCHEN,utility,3734887,3734887,3733543,1344,0.00035985024446522746,3.0,False,0.0,2.0,0.00038448285048516863,0.02082306978960436,False,True,False,False
CT_place_PIPE,position,3734887,3734887,3733455,1432,0.0003834118676147364,4.0,False,0.0,3.0,0.0004139348794220548,0.02183921991951988,False,True,False,False
CT_place_PLAYGROUND,position,3734887,3734887,3733501,1386,0.0003710955646047658,4.0,False,0.0,3.0,0.0004042960335881648,0.021863906246716597,False,True,False,False
CT_place_SIDE,position,3734887,3734887,3731364,3523,0.0009432681631331818,2.0,False,0.0,1.0,0.0009432681631331818,0.030698182491893575,False,True,False,False
CT_place_SILO,position,3734887,3734887,3734199,688,0.00018420905371434264,3.0,False,0.0,2.0,0.0001973285938771374,0.014950877420030081,False,True,False,False
CT_place_STREET,position,3734887,3734887,3731533,3354,0.0008980191368574204,5.0,False,0.0,4.0,0.0009670975320002988,0.03353606594679625,False,True,False,False
CT_place_UPSTAIRS,position,3734887,3734887,3732789,2098,0.0005617305155417018,3.0,False,0.0,2.0,0.0005745823099868885,0.0244939942444329,False,True,False,False
T_place_BACKOFA,position,3734887,3734887,3733047,1840,0.0004926521203988233,3.0,False,0.0,2.0,0.0005038974405383617,0.02293761470133408,False,True,False,False
T_place_BRICKS,position,3734887,3734887,3733793,1094,0.00029291381506321343,3.0,False,0.0,2.0,0.0003028204066147115,0.01795945125885102,False,True,False,False
T_place_CRANE,position,3734887,3734887,3733972,915,0.0002449873316113714,3.0,False,0.0,2.0,0.0002452550773289794,0.015675790848031876,False,True,False,False
T_place_CTSIDEUPPER,position,3734887,3734887,3733283,1604,0.00042946413104332203,6.0,False,0.0,5.0,0.0005151427606779,0.027139838665575955,False,True,False,False
T_place_ENTRANCE,position,3734887,3734887,3731771,3116,0.000834295656066703,5.0,False,0.0,4.0,0.0009456778745916543,0.03483676604433383,False,True,False,False
T_place_HUTROOF,position,3734887,3734887,3731514,3373,0.0009031063054919734,4.0,False,0.0,3.0,0.00099173013802024,0.034417938766024544,False,True,False,False
T_place_KITCHEN,utility,3734887,3734887,3732015,2872,0.0007689657009703373,4.0,False,0.0,3.0,0.0008359021303723513,0.03131008746305824,False,True,False,False
T_place_LOCKERROOM,position,3734887,3734887,3732436,2451,0.0006562447538573456,3.0,False,0.0,2.0,0.0006814128513125029,0.02704227658221259,False,True,False,False
T_place_SCAFFOLDING,position,3734887,3734887,3731784,3103,0.0008308149617377983,3.0,False,0.0,2.0,0.0008415247904421205,0.029363860166501207,False,True,False,False
T_place_STORAGEROOM,position,3734887,3734887,3733803,1084,0.0002902363578871329,3.0,False,0.0,2.0,0.00032557879261139625,0.01990370971727946,False,True,False,False
CT1__X,position,3734887,3734887,0,3734887,1.0,,True,-3959.97119140625,3497.9716796875,166.65663960674897,1246.8806393547661,False,False,False,False
CT1__Y,position,3734887,3734887,0,3734887,1.0,,True,-3183.48388671875,3593.968994140625,379.5095450741007,1374.926657827099,False,False,False,False
CT1__alive,state,3734887,3734887,795124,2939763,0.7871089540326119,2.0,False,0.0,1.0,0.7871089540326119,0.40935125322185045,False,False,False,False
CT1__armor,state,3734887,3734887,1060363,2674524,0.7160923476399688,89.0,False,0.0,100.0,69.29512137850489,44.2205383463085,False,False,False,False
CT1__duck_amount,player_slot_numeric,3734887,3734887,3282995,451892,0.12099214782133971,,True,0.0,1.0,0.0865949647215636,0.2620921610845082,False,False,False,False
CT1__has_defuser,objective,3734887,3734887,2586257,1148630,0.3075407636161415,2.0,False,0.0,1.0,0.3075407636161415,0.46147528897064694,False,False,False,False
CT1__has_helmet,utility,3734887,3734887,1983570,1751317,0.4689076269241881,2.0,False,0.0,1.0,0.4689076269241881,0.49903232794731295,False,False,False,False
CT1__hp,state,3734887,3734887,795124,2939763,0.7871089540326119,101.0,False,0.0,100.0,74.19337934454242,41.50938117549809,False,False,False,False
CT1__is_scoped,player_slot_numeric,3734887,3734887,3518745,216142,0.05787109489524047,2.0,False,0.0,1.0,0.05787109489524047,0.2334995316287948,False,False,False,False
CT1__is_walking,player_slot_numeric,3734887,3734887,2830520,904367,0.2421403913960449,2.0,False,0.0,1.0,0.2421403913960449,0.42837883030165613,False,False,False,False
CT1__shots_fired,combat,3734887,3734887,3287118,447769,0.1198882322276417,32.0,False,0.0,32.0,0.49679789509026645,1.8924800216451552,False,False,False,False
CT2__X,position,3734887,3734887,0,3734887,1.0,,True,-3959.9619140625,3497.96875,125.34808330445948,1248.1033076522826,False,False,False,False
CT2__Y,position,3734887,3734887,0,3734887,1.0,,True,-3338.18408203125,3593.97119140625,416.07011974456736,1368.325828638898,False,False,False,False
CT2__alive,state,3734887,3734887,814897,2919990,0.7818148179583478,2.0,False,0.0,1.0,0.7818148179583478,0.4130138113660405,False,False,False,False
CT2__armor,state,3734887,3734887,1051692,2683195,0.7184139707573483,90.0,False,0.0,100.0,69.58439144209717,44.117353428697854,False,False,False,False
CT2__duck_amount,player_slot_numeric,3734887,3734887,3266646,468241,0.12536952255851383,,True,0.0,1.0,0.08833648926775374,0.2624813490233731,False,False,False,False
CT2__has_defuser,objective,3734887,3734887,2598937,1135950,0.3041457479168714,2.0,False,0.0,1.0,0.3041457479168714,0.4600446847219934,False,False,False,False
CT2__has_helmet,utility,3734887,3734887,2059083,1675804,0.4486893445504509,2.0,False,0.0,1.0,0.4486893445504509,0.49736024834855636,False,False,False,False
CT2__hp,state,3734887,3734887,814897,2919990,0.7818148179583478,101.0,False,0.0,100.0,73.68744141389017,41.77888882896038,False,False,False,False
CT2__is_scoped,player_slot_numeric,3734887,3734887,3632368,102519,0.02744902322346031,2.0,False,0.0,1.0,0.02744902322346031,0.16338780354585297,False,False,False,False
CT2__is_walking,player_slot_numeric,3734887,3734887,2858855,876032,0.23455381648762064,2.0,False,0.0,1.0,0.23455381648762064,0.4237196285973925,False,False,False,False
CT2__shots_fired,combat,3734887,3734887,3241496,493391,0.13210332735635644,33.0,False,0.0,32.0,0.5691711690340296,2.011724332164797,False,False,False,False
CT3__X,position,3734887,3734887,18,3734869,0.999995180577083,,True,-3959.9716796875,3497.971923828125,108.77903997674441,1242.845969157438,False,False,False,False
CT3__Y,position,3734887,3734887,17,3734870,0.9999954483228006,,True,-2889.58203125,3593.97265625,419.51726321617707,1383.7556114760494,False,False,False,False
CT3__alive,state,3734887,3734887,812445,2922442,0.7824713304579228,2.0,False,0.0,1.0,0.7824713304579228,0.41256508270736014,False,False,False,False
CT3__armor,state,3734887,3734887,1016574,2718313,0.727816664868308,89.0,False,0.0,100.0,70.40540182340189,43.63567275864253,False,False,False,False
CT3__duck_amount,player_slot_numeric,3734887,3734887,3254281,480606,0.12868019835673744,,True,0.0,1.0,0.09227011574237323,0.2687562794262428,False,False,False,False
CT3__has_defuser,objective,3734887,3734887,2747908,986979,0.26425940061908165,2.0,False,0.0,1.0,0.26425940061908165,0.4409380566514137,False,False,False,False
CT3__has_helmet,utility,3734887,3734887,2110025,1624862,0.43504984220406134,2.0,False,0.0,1.0,0.43504984220406134,0.495763529318447,False,False,False,False
CT3__hp,state,3734887,3734887,812445,2922442,0.7824713304579228,101.0,False,0.0,100.0,73.2936830485099,41.844391362987125,False,False,False,False
CT3__is_scoped,player_slot_numeric,3734887,3734887,3544639,190248,0.05093808728349747,2.0,False,0.0,1.0,0.05093808728349747,0.2198713227035219,False,False,False,False
CT3__is_walking,player_slot_numeric,3734887,3734887,2886947,847940,0.22703230378857514,2.0,False,0.0,1.0,0.22703230378857514,0.4189136388625074,False,False,False,False
CT3__shots_fired,combat,3734887,3734887,3254924,479963,0.12850803786031545,31.0,False,0.0,30.0,0.5398318610442565,1.9444923298811039,False,False,False,False
CT4__X,position,3734887,3734887,105,3734782,0.9999718866996512,,True,-3959.972412109375,3497.965087890625,108.06284019975683,1285.87029489719,False,False,False,False
CT4__Y,position,3734887,3734887,105,3734782,0.9999718866996512,,True,-2925.32373046875,3593.97216796875,429.14935714065956,1374.4588461113453,False,False,False,False
CT4__alive,state,3734887,3734887,786360,2948527,0.789455477501729,2.0,False,0.0,1.0,0.789455477501729,0.4076953845020153,False,False,False,False
CT4__armor,state,3734887,3734887,1049249,2685638,0.7190680735454646,88.0,False,0.0,100.0,69.8019375151109,44.14956892032167,False,False,False,False
CT4__duck_amount,player_slot_numeric,3734887,3734887,3268116,466771,0.12497593635362998,,True,0.0,1.0,0.09294854356079,0.2722872913438603,False,False,False,False
CT4__has_defuser,objective,3734887,3734887,2655545,1079342,0.28898919833451453,2.0,False,0.0,1.0,0.28898919833451453,0.4532928871937979,False,False,False,False
CT4__has_helmet,utility,3734887,3734887,2041470,1693417,0.4534051498746816,2.0,False,0.0,1.0,0.4534051498746816,0.49782418577425414,False,False,False,False
CT4__hp,state,3734887,3734887,786360,2948527,0.789455477501729,101.0,False,0.0,100.0,74.44857019770612,41.381062264197894,False,False,False,False
CT4__is_scoped,player_slot_numeric,3734887,3734887,3379558,355329,0.09513781809195299,2.0,False,0.0,1.0,0.09513781809195299,0.2934052038745316,False,False,False,False
CT4__is_walking,player_slot_numeric,3734887,3734887,2884440,850447,0.22770354230261852,2.0,False,0.0,1.0,0.22770354230261852,0.41935025828710076,False,False,False,False
CT4__shots_fired,combat,3734887,3734887,3316113,418774,0.11212494514559611,31.0,False,0.0,30.0,0.47018638047148414,1.8561708159072812,False,False,False,False
CT5__X,position,3734887,3734887,0,3734887,1.0,,True,-3959.970458984375,3497.97119140625,136.70030847183796,1235.4841838601208,False,False,False,False
CT5__Y,position,3734887,3734887,0,3734887,1.0,,True,-3089.354736328125,3593.971435546875,392.0703349055922,1414.295964910522,False,False,False,False
CT5__alive,state,3734887,3734887,805313,2929574,0.7843808929159035,2.0,False,0.0,1.0,0.7843808929159035,0.4112511492316506,False,False,False,False
CT5__armor,state,3734887,3734887,1035054,2699833,0.722868724006911,84.0,False,0.0,100.0,70.06901975883072,43.91122947732037,False,False,False,False
CT5__duck_amount,player_slot_numeric,3734887,3734887,3275669,459218,0.12295365294853633,,True,0.0,1.0,0.08877674766034149,0.26490347419891563,False,False,False,False
CT5__has_defuser,objective,3734887,3734887,2565997,1168890,0.31296529185488076,2.0,False,0.0,1.0,0.31296529185488076,0.46370035362189455,False,False,False,False
