feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT1__has_bomb,objective,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT1__he,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT2__has_bomb,objective,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT2__he,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT3__has_bomb,objective,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT3__he,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT4__has_bomb,objective,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT4__he,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT5__has_bomb,objective,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT5__he,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_A_site_flashes_last_5s,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_A_site_he_last_5s,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_A_site_mollies_last_5s,other,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_A_site_smokes_last_5s,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_B_site_flashes_last_5s,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_B_site_he_last_5s,utility,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
CT_B_site_mollies_last_5s,other,1873218,1873218,1873218,0,0.0,1.0,False,0.0,0.0,0.0,0.0,True,False,False,False
